LLM model,Parameters (billions),Source,Year released,Country of the organization(s) that trained the model,PUE,Source for PUE value,GPU Used,WUE onsite (L/kWh),Offsite WUE (L/kWh),Source for WUE onsite value,Source for WUE offsite value,GPU hours,Estimated IT energy during training (kWh),Estimated onsite water consumption (L),Estimated offsite water consumption (L),Estimated total water consumption (L),Sum of total water consumption (L)
Phi 4,15,https://huggingface.co/microsoft/phi-4 ,2024,USA,1.16,Phi 4 was likely trained on Microsoft's Azure cloud infrastructure; Microsoft published global average PUE and WUE data during 2023 and 2024: https://datacenters.microsoft.com/sustainability/efficiency/ ,H100,0.34,3.64,Phi 4 was likely trained on Microsoft's Azure cloud infrastructure; Microsoft published global average PUE and WUE data during 2023 and 2024: https://datacenters.microsoft.com/sustainability/efficiency/ ,Microsoft server global average estimate from Li et al. (2025),967680,677376,230307.84,2860152.422,3090460.262,
Phi-3-Mini-128K-Instruct,3.8,https://huggingface.co/microsoft/Phi-3-mini-128k-instruct,2024,USA,1.16,Phi 3 was likely trained on Microsoft's Azure cloud infrastructure; Microsoft published global average PUE and WUE data during 2023 and 2024: https://datacenters.microsoft.com/sustainability/efficiency/ ,H100,0.3,3.64,Phi 3 was likely trained on Microsoft's Azure cloud infrastructure; Microsoft published global average PUE and WUE data during 2023 and 2024: https://datacenters.microsoft.com/sustainability/efficiency/ ,Microsoft server global average estimate from Li et al. (2025),122880,86016,25804.8,363193.9584,388998.7584,
Phi 2,3,https://huggingface.co/microsoft/phi-2,2023,USA,1.16,Phi 2 was likely trained on Microsoft's Azure cloud infrastructure; Microsoft published US global PUE and WUE data during 2023 and 2024: https://datacenters.microsoft.com/sustainability/efficiency/ ,A100,0.3,3.64,Phi 2 was likely trained on Microsoft's Azure cloud infrastructure; Microsoft published global average PUE and WUE data during 2023 and 2024: https://datacenters.microsoft.com/sustainability/efficiency/ ,Microsoft server global average estimate from Li et al. (2025),32256,12902.4,3870.72,54479.09376,58349.81376,
gpt-oss,20,https://developer.nvidia.com/blog/delivering-1-5-m-tps-inference-on-nvidia-gb200-nvl72-nvidia-accelerates-openai-gpt-oss-models-from-cloud-to-edge/,2025,USA,1.5,Data unavailable for training servers; thus an industry average is used: https://www.cfp.energy/en/insights/data-centre-power-consumption ,H100,1.8,4.81,Data unavailable for training servers; thus an industry average is used: https://airsysnorthamerica.com/data-center-energy-efficiency-which-metrics-matter-most/ ,Worldwide average from Rieg et al. (2020),2.10E+05,1.47E+05,2.65E+05,1.06E+06,1.33E+06,
gpt-oss,117,https://developer.nvidia.com/blog/delivering-1-5-m-tps-inference-on-nvidia-gb200-nvl72-nvidia-accelerates-openai-gpt-oss-models-from-cloud-to-edge/,2025,USA,1.5,Data unavailable for training servers; thus an industry average is used: https://www.cfp.energy/en/insights/data-centre-power-consumption ,H100,1.8,4.81,Data unavailable for training servers; thus an industry average is used: https://airsysnorthamerica.com/data-center-energy-efficiency-which-metrics-matter-most/ ,Worldwide average from Rieg et al. (2020),2.10E+06,1.47E+06,2.65E+06,1.06E+07,1.33E+07,
Meena,2.6,Patterson et al. 2021,2019,USA,1.09,"Patterson et al. (2021), p.6",TPUv3,1.8,2.31,"Data unavailable; Google does not report WUE for their servers, thus an industry average value is used: https://airsysnorthamerica.com/data-center-energy-efficiency-which-metrics-matter-most/ ","Meena was trained on Google's datacenters in Georgia, USA, thus the eGRID average of Georgia from Rieg et al. (2020) is used",7200,2037.6,3667.68,5130.47304,8798.15304,
GShard-600B,600,Patterson et al. 2021,2020,USA,1.09,"Patterson et al. (2021), p.6",TPUv3,1.8,2.39,"Data unavailable; Google does not report WUE for their servers, thus an industry average value is used: https://airsysnorthamerica.com/data-center-energy-efficiency-which-metrics-matter-most/ ","Trained on Google's North Carolina datacenter, average from Rieg et al. (2020) Appendix 2 for North Carolina used",76185.6,21560.5248,38808.94464,56167.32316,94976.2678,
T5,11,Patterson et al. 2021,2019,Taiwan,1.12,"Patterson et al. (2021), p.6",TPUv3,1.8,2.18,"Data unavailable; Google does not report WUE for their servers, thus an industry average value is used: https://airsysnorthamerica.com/data-center-energy-efficiency-which-metrics-matter-most/ ",Value from Chen et al. (2015) table 3 is used since Rieg et al. (2020) do not calculate it for Taiwan,245760,69550.08,125190.144,169813.4753,295003.6193,
Switch Transformer,1500,Patterson et al. 2021,2020,USA,1.1,"Patterson et al. (2021), p.6",TPUv3,1.8,2.31,"Data unavailable; Google does not report WUE for their servers, thus an industry average value is used: https://airsysnorthamerica.com/data-center-energy-efficiency-which-metrics-matter-most/ ","Switch Transformer was trained on Google's datacenters in Georgia, USA, thus the eGRID average of Georgia from Rieg et al. (2020) is used",27648,7492.608,13486.6944,19038.71693,32525.41133,
Transformer (Base),0.065,Strubell et al. 2019,2017,USA,1.11,"Google's average PUE for their servers in 2017, see: https://datacenters.google/efficiency/ ",P100,1.8,3.99,"Data unavailable; Google does not report WUE for their servers, thus an industry average value is used: https://airsysnorthamerica.com/data-center-energy-efficiency-which-metrics-matter-most/ ","Google's average offsite WUE across all their AI datacenters, calculated in the table labelled ""Energy Mixes""",96,24,43.2,106.2936,149.4936,
Transformer (Big),0.213,Strubell et al. 2019,2017,USA,1.11,"Google's average PUE for their servers in 2017, see: https://datacenters.google/efficiency/ ",P100,1.8,3.99,"Data unavailable; Google does not report WUE for their servers, thus an industry average value is used: https://airsysnorthamerica.com/data-center-energy-efficiency-which-metrics-matter-most/ ","Google's average offsite WUE across all their AI datacenters, calculated in the table labelled ""Energy Mixes""",672,168,302.4,744.0552,1046.4552,
ELMo,0.0936,Strubell et al. 2019,2018,USA,1.58,"Data unavailable, thus an industry average is used for 2018: https://uptimeinstitute.com/about-ui/press-releases/uptime-institute-10th-annual-global-data-center-survey ",GTX 1080,1.8,4.81,"Data unavailable; Google does not report WUE for their servers, thus an industry average value is used: https://airsysnorthamerica.com/data-center-energy-efficiency-which-metrics-matter-most/ ",Worldwide average from Rieg et al. (2020),2688,672,1209.6,5107.0656,6316.6656,
